"age_yrBP","depth_m","deuterium_permille","temp_anomaly_C"
"38.37379","6.6","-390.9",0.88
"46.81203","7.15","-385.1",1.84
"55.05624","7.7","-377.8",3.04
"64.41511","8.25","-394.1",0.35
"73.15077","8.8","-398.7",-0.42
"81.93244","9.35","-395.9",0.05
"90.75925","9.9","-395.9",0.05
"99.97031","10.45","-399.3",-0.52
"109.88879","11","-391.4",0.79
"119.25888","11.55","-399.5",-0.55
"129.40378","12.1","-402.9",-1.11
"139.93889","12.65","-393.9",0.38
"150.10205","13.2","-398.6",-0.4
"160.58005","13.75","-389.8",1.05
"171.01834","14.3","-394.5",0.28
"181.44466","14.85","-400.5",-0.72
"191.48283","15.4","-403.6",-1.23
"201.87233","15.95","-393.1",0.51
"212.18626","16.5","-410.9",-2.44
"223.16292","17.05","-393.6",0.42
"233.73909","17.6","-391.1",0.84
"244.64073","18.15","-391.9",0.71
"255.49973","18.7","-396.3",-0.02
"266.61209","19.25","-397",-0.14
"277.77097","19.8","-404.7",-1.41
"289.25006","20.35","-398.2",-0.34
"301.04303","20.9","-395.2",0.16
"312.44177","21.45","-403.5",-1.22
"323.85452","22","-398.6",-0.41
"335.57825","22.55","-399.7",-0.59
"346.88129","23.1","-396",0.03
"358.50821","23.65","-400.2",-0.67
"370.90112","24.2","-401.6",-0.9
"382.87436","24.75","-405.4",-1.53
"395.18558","25.3","-399",-0.47
"407.46558","25.85","-396.9",-0.12
"418.75491","26.4","-394.9",0.21
"430.39774","26.95","-406.6",-1.73
"442.40918","27.5","-395.2",0.16
"454.09915","28.05","-395.3",0.14
"466.12518","28.6","-399.5",-0.56
"478.21433","29.15","-401",-0.8
"490.39719","29.7","-393.6",0.42
"503.05731","30.25","-410.4",-2.36
"515.651","30.8","-401.3",-0.85
"528.76422","31.35","-398.3",-0.36
"541.60858","31.9","-388.5",1.26
"554.93121","32.45","-391.9",0.7
"567.75421","33","-400.8",-0.77
"580.59985","33.55","-387.7",1.4
"593.51135","34.1","-401.4",-0.87
"606.47388","34.65","-401",-0.81
"619.46606","35.2","-387.3",1.46
"632.04871","35.75","-390.2",0.98
"644.98712","36.3","-394.5",0.27
"658.25757","36.85","-401.9",-0.96
"672.12836","37.4","-399.8",-0.61
"686.65106","37.95","-399.9",-0.63
"700.67932","38.5","-399.1",-0.49
"715.02704","39.05","-401.9",-0.96
"729.27771","39.6","-404.8",-1.44
"744.23865","40.15","-401.6",-0.91
"758.74341","40.7","-396.7",-0.1
"772.40747","41.25","-397.1",-0.16
"785.83618","41.8","-394.2",0.32
"798.90051","42.35","-395.9",0.03
"812.30737","42.9","-392.7",0.56
"824.81067","43.45","-390.4",0.94
"837.10004","44","-389",1.17
"849.37903","44.55","-387",1.5
"861.96991","45.1","-402.3",-1.03
"875.36835","45.65","-392.5",0.59
"889.09241","46.2","-404.6",-1.41
"903.1662","46.75","-390.5",0.92
"917.33173","47.3","-402.3",-1.03
"931.97516","47.85","-400.1",-0.67
"946.98193","48.4","-399.4",-0.55
"961.22705","48.95","-400.6",-0.75
"975.76489","49.5","-393.8",0.38
"990.15808","50.05","-398.5",-0.4
"1004.54004","50.6","-398.7",-0.44
"1018.7851","51.15","-401.8",-0.95
"1032.38147","51.7","-395.2",0.14
"1046.66455","52.25","-390.1",0.99
"1060.58911","52.8","-393.9",0.36
"1074.79602","53.35","-400.6",-0.75
"1089.0769","53.9","-400.9",-0.8
"1103.7052","54.45","-391.7",0.72
"1118.15979","55","-399.3",-0.54
"1132.65186","55.55","-386.7",1.55
"1146.79089","56.1","-401.5",-0.9
"1160.92249","56.65","-398.1",-0.34
"1174.39355","57.2","-390.4",0.93
"1188.11206","57.75","-389.8",1.03
"1201.49829","58.3","-390.7",0.88
"1215.03625","58.85","-399.3",-0.54
"1229.32214","59.4","-392.5",0.58
"1243.60388","59.95","-393.8",0.37
"1258.22241","60.5","-394.4",0.27
"1272.59155","61.05","-397",-0.16
"1286.97961","61.6","-397.8",-0.3
"1301.70935","62.15","-388.6",1.23
"1315.86951","62.7","-394.7",0.22
"1330.4541","63.25","-390.6",0.89
"1344.70923","63.8","-397",-0.17
"1358.6217","64.35","-386.6",1.55
"1372.61572","64.9","-390.6",0.89
"1386.61511","65.45","-397",-0.17
"1400.62073","66","-396.1",-0.02
"1415.92065","66.55","-398.9",-0.48
"1431.90051","67.1","-400.2",-0.7
"1447.89026","67.65","-398.7",-0.45
"1463.26855","68.2","-389.7",1.04
"1478.73511","68.75","-401.6",-0.93
"1494.21582","69.3","-397.9",-0.32
"1509.67847","69.85","-399.2",-0.54
"1525.08606","70.4","-397.6",-0.27
"1540.51196","70.95","-390.5",0.9
"1556.33752","71.5","-401.5",-0.92
"1571.98694","72.05","-395.7",0.04
"1588.01611","72.6","-394.5",0.24
"1604.08252","73.15","-402.9",-1.15
"1620.57983","73.7","-401",-0.84
"1637.10657","74.25","-391.5",0.73
"1654.01477","74.8","-403.4",-1.24
"1670.17859","75.35","-393.4",0.42
"1686.01746","75.9","-393.8",0.35
"1702.25342","76.45","-400.8",-0.81
"1719.76782","77","-399.3",-0.56
"1736.97498","77.55","-396.6",-0.11
"1754.16895","78.1","-395.3",0.1
"1770.60083","78.65","-392.6",0.55
"1787.40186","79.2","-404.4",-1.41
"1804.23096","79.75","-394.4",0.25
"1821.97449","80.3","-402.2",-1.04
"1839.34473","80.85","-401.9",-0.99
"1856.49829","81.4","-393.8",0.35
"1872.56653","81.95","-402.3",-1.06
"1888.98816","82.5","-385.1",1.79
"1905.45862","83.05","-395.9",0
"1922.0116","83.6","-395.8",0.01
"1938.20874","84.15","-398.2",-0.38
"1955.51404","84.7","-394.8",0.18
"1972.75623","85.25","-397.7",-0.3
"1990.00256","85.8","-400.3",-0.73
"2007.35229","86.35","-402.4",-1.08
"2025.23914","86.9","-396",-0.02
"2043.51099","87.45","-401.4",-0.92
"2060.98633","88","-386.1",1.62
"2078.09888","88.55","-400.1",-0.7
"2095.21533","89.1","-400.3",-0.74
"2112.52783","89.65","-393.2",0.44
"2129.74927","90.2","-399.7",-0.64
"2147.34131","90.75","-397.9",-0.34
"2165.32129","91.3","-402",-1.02
"2183.99536","91.85","-398.7",-0.48
"2202.29272","92.4","-398.6",-0.46
"2236.5647","93.5","-390.6",0.86
"2253.38916","94.05","-394",0.3
"2270.87402","94.6","-397.9",-0.35
"2288.77588","95.15","-394.8",0.17
"2306.32422","95.7","-408.2",-2.05
"2326.60645","96.25","-404.3",-1.41
"2346.90186","96.8","-399.6",-0.63
"2366.62476","97.35","-400.8",-0.83
"2385.38379","97.9","-401.5",-0.94
"2404.53833","98.45","-407.7",-1.97
"2423.7998","99","-400.5",-0.78
"2443.08032","99.55","-395.8",0
"2462.51489","100.1","-399.7",-0.65
"2480.89111","100.65","-399.6",-0.63
"2499.64697","101.2","-394.8",0.16
"2517.80176","101.75","-398.5",-0.45
"2535.12402","102.3","-390.2",0.92
"2552.80396","102.85","-396.4",-0.11
"2570.83887","103.4","-392.7",0.51
"2589.01855","103.95","-400.4",-0.77
"2607.20264","104.5","-393.5",0.37
"2624.53931","105.05","-390.6",0.85
"2641.80493","105.6","-395.2",0.09
"2659.10327","106.15","-396.9",-0.19
"2678.04224","106.7","-399.1",-0.56
"2696.61401","107.25","-396.9",-0.2
"2714.85034","107.8","-401",-0.88
"2732.7207","108.35","-387.9",1.29
"2750.24463","108.9","-390.3",0.89
"2767.45288","109.45","-390.8",0.81
"2784.27979","110","-390.2",0.91
"2801.44702","110.55","-395.6",0.01
"2818.38721","111.1","-387.7",1.32
"2835.10181","111.65","-388.9",1.12
"2851.81982","112.2","-388.9",1.12
"2869.81689","112.75","-395.4",0.04
"2888.01172","113.3","-399.5",-0.64
"2906.21045","113.85","-401.7",-1
"2924.22363","114.4","-392.2",0.57
"2942.89673","114.95","-393.9",0.29
"2961.21436","115.5","-397.7",-0.34
"2980.44849","116.05","-401.1",-0.91
"2999.6936","116.6","-395.7",-0.01
"3018.71484","117.15","-398.7",-0.51
"3037.35205","117.7","-395",0.1
"3055.99341","118.25","-394.7",0.15
"3074.13501","118.8","-395.8",-0.03
"3092.03613","119.35","-391.8",0.63
"3128.5083","120.45","-387.9",1.27
"3146.72217","121","-404.4",-1.46
"3165.27637","121.55","-401.1",-0.91
"3185.7229","122.1","-403.4",-1.3
"3206.56641","122.65","-391.8",0.62
"3226.7688","123.2","-400.5",-0.82
"3246.86279","123.75","-406.2",-1.76
"3267.21094","124.3","-392.7",0.47
"3286.70679","124.85","-400",-0.74
"3306.5813","125.4","-401.9",-1.05
"3325.90356","125.95","-391.3",0.7
"3345.50293","126.5","-399.8",-0.71
"3365.14771","127.05","-404.2",-1.44
"3385.10962","127.6","-395.6",-0.01
"3405.45874","128.15","-397.2",-0.28
"3425.45044","128.7","-398.2",-0.44
"3445.16016","129.25","-396.6",-0.18
"3464.87329","129.8","-395.6",-0.02
"3483.79248","130.35","-392.7",0.46
"3503.07251","130.9","-401.8",-1.04
"3522.05103","131.45","-387.3",1.35
"3540.56226","132","-394.6",0.15
"3559.07617","132.55","-397.2",-0.29
"3578.32837","133.1","-394.5",0.16
"3598.29468","133.65","-399.5",-0.67
"3617.72217","134.2","-389.9",0.92
"3635.78711","134.75","-390.8",0.77
"3653.85449","135.3","-394.4",0.17
"3672.00122","135.85","-391.7",0.62
"3690.64551","136.4","-389.2",1.03
"3708.94678","136.95","-401.6",-1.02
"3727.1001","137.5","-387.2",1.36
"3745.50146","138.05","-387.8",1.26
"3763.56421","138.6","-404.9",-1.57
"3782.9856","139.15","-388.9",1.07
"3802.25","139.7","-394.9",0.08
"3821.60449","140.25","-393.8",0.26
"3841.62109","140.8","-399.6",-0.7
"3861.26953","141.35","-400.9",-0.92
"3880.94751","141.9","-391",0.72
"3900.47876","142.45","-396.1",-0.12
"3919.72363","143","-398.5",-0.52
"3939.896","143.55","-396.5",-0.19
"3960.07056","144.1","-397.8",-0.41
"3979.64185","144.65","-392.9",0.4
"3999.41675","145.2","-398.7",-0.56
"4019.15869","145.75","-398.9",-0.59
"4037.8606","146.3","-390.6",0.78
"4056.91699","146.85","-390.4",0.81
"4076.0918","147.4","-402.3",-1.16
"4095.42676","147.95","-389.9",0.89
"4114.76318","148.5","-390.3",0.82
"4134.00732","149.05","-398.8",-0.59
"4153.67773","149.6","-397.8",-0.42
"4173.31543","150.15","-394.9",0.06
"4192.83838","150.7","-392.2",0.5
"4212.36182","151.25","-404.7",-1.57
"4231.44238","151.8","-391.2",0.67
"4250.30615","152.35","-387.3",1.31
"4269.17041","152.9","-396.4",-0.2
"4288.05469","153.45","-387",1.36
"4306.93359","154","-398.1",-0.48
"4326.36182","154.55","-401.4",-1.03
"4346.73633","155.1","-395.2",0
"4367.11133","155.65","-393.4",0.29
"4386.60889","156.2","-394.9",0.04
"4406.00635","156.75","-397.1",-0.32
